,country,club,wins
1,Spain,Real,15
2,Italy,Milan,7
3,England,Liverpool,6
4,Germany,Bayern,6
5,Netherlands,Ajax,5
6,Spain,Barcelona,5
7,England,Man United,3
8,Italy,Inter,3
9,England,Chelsea,2
10,England,Nottm Forest,2
11,Italy,Juventus,2
12,Portugal,Benfica,2
13,Portugal,FC Porto,2
14,England,Aston Villa,1
15,England,Man City,1
16,France,Marseille,1
17,France,PSG,1
18,Germany,Dortmund,1
19,Germany,Hamburg,1
20,Netherlands,Feyenoord,1
21,Netherlands,PSV,1
22,Romania,Steaua,1
23,Scotland,Celtic,1
